,title,publish,view_count,like_count
181,"The Pat McAfee Show | Wednesday November 24th, 2021",2021-11-24T20:56:03Z,281748,4053
182,"The Pat McAfee Show | Tuesday November 23rd, 2021",2021-11-23T20:54:50Z,325179,5220
183,"The Pat McAfee Show | Monday November 22nd, 2021",2021-11-22T21:22:03Z,319354,5085
184,"The Pat McAfee Show | Friday November 19th, 2021",2021-11-19T19:13:38Z,273785,4368
185,"The Pat McAfee Show | Thursday November 18th, 2021",2021-11-18T20:53:31Z,276600,4240
186,"The Pat McAfee Show | Wednesday November 17th, 2021",2021-11-17T21:16:48Z,355984,4449
187,"The Pat McAfee Show | Tuesday November 16th, 2021",2021-11-16T20:46:42Z,372872,6286
188,"The Pat McAfee Show | Monday November 15th, 2021",2021-11-15T20:52:49Z,371084,5570
189,"The Pat McAfee Show | Friday November 12th, 2021",2021-11-12T20:26:51Z,309571,4685
190,"The Pat McAfee Show | Thursday November 11th, 2021",2021-11-11T20:55:51Z,311047,4747
191,"The Pat McAfee Show | Wednesday November 10th, 2021",2021-11-10T21:12:06Z,282098,4872
192,"The Pat McAfee Show | Tuesday November 9th, 2021",2021-11-09T21:10:57Z,536761,8299
193,"The Pat McAfee Show | Monday November 8th, 2021",2021-11-08T20:53:33Z,385119,6133
194,"The Pat McAfee Show | Friday November 5th, 2021",2021-11-05T20:17:14Z,637147,14226
195,"The Pat McAfee Show | Thursday November 4th, 2021",2021-11-04T19:30:35Z,296535,4805
196,"The Pat McAfee Show | Wednesday November 3rd, 2021",2021-11-03T19:38:58Z,357502,5617
197,"The Pat McAfee Show | Tuesday November 2nd, 2021",2021-11-02T20:21:13Z,374849,6595
198,"The Pat McAfee Show | Monday November 1st, 2021",2021-11-01T22:06:19Z,347449,6211
199,"The Pat McAfee Show | Friday October 29th, 2021",2021-10-29T18:10:25Z,359243,9161
200,"The Pat McAfee Show | Thursday October 28th, 2021",2021-10-28T19:42:40Z,263472,4110
201,"The Pat McAfee Show | Wednesday October 27th, 2021",2021-10-27T19:59:42Z,415144,4873
202,"The Pat McAfee Show | Tuesday October 26th, 2021",2021-10-26T19:42:23Z,395561,6486
203,"The Pat McAfee Show | Monday October 25th, 2021",2021-10-25T20:23:31Z,334802,5718
204,"The Pat McAfee Show | Friday October 22nd, 2021",2021-10-22T18:22:55Z,281982,4704
205,"The Pat McAfee Show | Thursday October 21st, 2021",2021-10-21T19:31:03Z,277163,4194
206,"The Pat McAfee Show | Wednesday October 20th, 2021",2021-10-20T20:02:34Z,295246,4212
207,"The Pat McAfee Show | Tuesday October 19th, 2021",2021-10-19T20:07:22Z,381942,6689
208,"The Pat McAfee Show | Monday October 18th, 2021",2021-10-18T19:51:11Z,347641,5713
209,"The Pat McAfee Show | Friday October 15th, 2021",2021-10-15T19:27:45Z,273301,4184
210,"The Pat McAfee Show | Thursday October 14th, 2021",2021-10-14T19:26:17Z,263862,4295
211,"The Pat McAfee Show | Wednesday October 13th, 2021",2021-10-13T19:33:50Z,284031,5065
212,"The Pat McAfee Show | Tuesday October 12th, 2021",2021-10-12T19:34:41Z,382579,6462
213,"The Pat McAfee Show | Monday October 11th, 2021",2021-10-11T19:38:33Z,350384,5650
214,"The Pat McAfee Show | Friday October 8th, 2021",2021-10-08T19:34:56Z,329162,5492
215,"The Pat McAfee Show | Thursday October 7th, 2021",2021-10-07T19:23:16Z,266300,5351
216,"The Pat McAfee Show | Wednesday October 6th, 2021",2021-10-06T19:48:57Z,250317,4398
217,"The Pat McAfee Show | Tuesday October 5th, 2021",2021-10-05T19:58:59Z,387444,6100
218,"The Pat McAfee Show | Monday October 4th, 2021",2021-10-04T19:38:17Z,367817,5810
219,"The Pat McAfee Show | Friday October 1st, 2021",2021-10-01T18:17:06Z,258611,3969
220,"The Pat McAfee Show | Thursday September 30th, 2021",2021-09-30T19:39:19Z,229836,3755
221,"The Pat McAfee Show | Wednesday September 29th, 2021",2021-09-29T19:28:47Z,234258,3986
222,"The Pat McAfee Show | Tuesday September 28th, 2021",2021-09-28T20:05:27Z,409358,6636
223,"The Pat McAfee Show | Monday September 27th, 2021",2021-09-27T20:10:33Z,372274,5626
224,"The Pat McAfee Show | Friday September 24th, 2021",2021-09-24T18:32:18Z,256995,4199
225,"The Pat McAfee Show | Thursday September 23rd, 2021",2021-09-23T19:51:39Z,259689,3790
226,"The Pat McAfee Show | Wednesday September 22nd, 2021",2021-09-22T19:38:15Z,260472,4265
227,"The Pat McAfee Show | Tuesday September 21st, 2021",2021-09-21T19:40:43Z,376079,7062
228,"The Pat McAfee Show | Monday September 20th, 2021",2021-09-20T20:07:17Z,412097,5895
229,"The Pat McAfee Show | Friday September 17th, 2021",2021-09-17T19:45:37Z,253807,3983
230,"The Pat McAfee Show | Thursday September 16th, 2021",2021-09-16T20:19:33Z,475961,5200
231,"The Pat McAfee Show | Wednesday September 15th, 2021",2021-09-15T19:44:00Z,254333,4101
232,"The Pat McAfee Show | Tuesday September 14th, 2021",2021-09-14T19:36:28Z,364353,6710
233,"The Pat McAfee Show | Monday September 13th, 2021",2021-09-13T19:33:21Z,347356,5871
234,"The Pat McAfee Show | Friday September 10th, 2021",2021-09-10T19:13:16Z,376809,5077
235,"The Pat McAfee Show | Thursday September 9th, 2021",2021-09-09T19:43:13Z,246058,4000
236,"The Pat McAfee Show | Wednesday September 8th, 2021",2021-09-08T20:07:07Z,285118,4034
237,"The Pat McAfee Show | Tuesday September 7th, 2021",2021-09-07T19:47:54Z,305872,5582
238,"The Pat McAfee Show | Monday September 6th, 2021",2021-09-06T19:47:07Z,238931,3692
239,"The Pat McAfee Show | Thursday September 2nd, 2021",2021-09-02T19:30:44Z,243589,3780
240,"The Pat McAfee Show | Wednesday September 1st, 2021",2021-09-01T19:24:42Z,224469,3726
241,"The Pat McAfee Show | Tuesday August 31st, 2021",2021-08-31T20:28:31Z,272569,4113
242,"The Pat McAfee Show | Monday August 30th, 2021",2021-08-30T19:44:52Z,230909,3809
243,"The Pat McAfee Show | Friday August 27th, 2021",2021-08-27T19:27:00Z,236862,3495
244,"The Pat McAfee Show | Thursday August 26th, 2021",2021-08-26T19:27:30Z,233789,3896
245,"The Pat McAfee Show | Wednesday August 25th, 2021",2021-08-25T19:37:47Z,282160,5149
246,"The Pat McAfee Show | Tuesday August 24th, 2021",2021-08-24T19:56:50Z,253827,4321
247,"The Pat McAfee Show | Monday August 23rd, 2021",2021-08-23T20:32:46Z,250150,4042
248,"The Pat McAfee Show | Friday August 20th, 2021",2021-08-20T20:24:04Z,302004,4528
249,"The Pat McAfee Show | Thursday August 19th, 2021",2021-08-19T20:03:36Z,204155,3189
250,"The Pat McAfee Show | Wednesday August 18th, 2021",2021-08-18T19:46:24Z,204945,3470
251,"The Pat McAfee Show | Tuesday August 17th, 2021",2021-08-17T19:50:00Z,253890,3873
252,"The Pat McAfee Show | Monday August 16th, 2021",2021-08-16T20:21:54Z,319044,3954
253,"The Pat McAfee Show | Friday August 13th, 2021",2021-08-13T18:13:37Z,235378,6244
254,"The Pat McAfee Show | Thursday August 12th, 2021",2021-08-12T20:02:11Z,217872,3523
255,"The Pat McAfee Show | Wednesday August 11th, 2021",2021-08-11T20:22:35Z,298599,3551
256,"The Pat McAfee Show | Tuesday August 10th, 2021",2021-08-10T20:02:32Z,270036,3718
257,"The Pat McAfee Show | Monday August 9th, 2021",2021-08-09T19:58:45Z,259933,4158
258,"The Pat McAfee Show | Friday August 6th, 2021",2021-08-06T19:25:53Z,531790,4423
259,"The Pat McAfee Show | Thursday August 5th, 2021",2021-08-05T20:01:13Z,263816,3576
260,"The Pat McAfee Show | Wednesday August 4th, 2021",2021-08-04T19:45:58Z,213040,3401
261,"The Pat McAfee Show | Tuesday August 3rd, 2021",2021-08-03T19:53:05Z,248473,3842
262,"The Pat McAfee Show | Monday August 2nd, 2021",2021-08-02T19:46:37Z,231065,3695
263,"The Pat McAfee Show | Friday July 30th, 2021",2021-07-30T18:23:54Z,233878,3782
264,"The Pat McAfee Show | Thursday July 29th, 2021",2021-07-29T19:34:33Z,220578,3820
265,"The Pat McAfee Show | Wednesday July 28th, 2021",2021-07-28T20:00:55Z,261703,3672
266,"The Pat McAfee Show | Tuesday July 27th, 2021",2021-07-27T20:31:19Z,236231,4046
267,"The Pat McAfee Show | Monday July 26th, 2021",2021-07-26T19:50:09Z,293974,3941
268,"The Pat McAfee Show | Friday July 23rd, 2021",2021-07-23T19:19:12Z,213707,3295
269,"The Pat McAfee Show | Thursday July 22nd, 2021",2021-07-22T20:14:50Z,277603,3412
270,"The Pat McAfee Show | Wednesday July 21st, 2021",2021-07-21T19:10:21Z,220317,3606
271,"The Pat McAfee Show | Tuesday July 20th, 2021",2021-07-20T20:02:42Z,285930,3507
272,"The Pat McAfee Show | Monday July 19th, 2021",2021-07-19T19:51:54Z,248147,3783
273,"The Pat McAfee Show | Friday July 16th, 2021",2021-07-16T19:40:51Z,332765,5567
274,"The Pat McAfee Show | Thursday July 15th, 2021",2021-07-15T19:36:48Z,196976,3064
275,"The Pat McAfee Show | Wednesday July 14th, 2021",2021-07-14T20:18:28Z,183671,3114
276,"The Pat McAfee Show | Tuesday July 13th, 2021",2021-07-13T19:53:03Z,238707,3727
277,"The Pat McAfee Show | Monday July 12th, 2021",2021-07-12T20:10:51Z,301330,3459
278,"The Pat McAfee Show | Friday July 9th, 2021",2021-07-09T19:46:31Z,229105,3347
279,"The Pat McAfee Show | Thursday July 8th, 2021",2021-07-08T20:58:39Z,174126,3035
280,"The Pat McAfee Show | Wednesday July 7th, 2021",2021-07-07T19:56:06Z,218623,3732
281,"The Pat McAfee Show | Tuesday July 6th, 2021",2021-07-06T20:01:17Z,216207,4045
282,"The Pat McAfee Show | Monday July 5th, 2021 (Re-upload)",2021-07-05T23:41:12Z,46653,612
283,"The Pat McAfee Show | Monday July 5th, 2021",2021-07-05T19:08:26Z,184770,3470
284,"The Pat McAfee Show | Thursday June 24th, 2021",2021-06-24T19:42:40Z,253152,3642
285,"The Pat McAfee Show | Wednesday June 23rd, 2021",2021-06-23T20:04:54Z,225605,3284
286,"The Pat McAfee Show | Tuesday June 22nd, 2021",2021-06-22T19:36:34Z,203682,3329
