,title,publish,view_count,like_count,day_of_week,day_name
327,"The Pat McAfee Show | Tuesday April 27th, 2021",2021-04-27 20:07:24+00:00,317278,4252,1,Tuesday
328,"The Pat McAfee Show | Monday April 26th, 2021",2021-04-26 19:57:20+00:00,328151,4404,0,Monday
329,"The Pat McAfee Show | Friday April 23rd, 2021",2021-04-23 19:30:06+00:00,229802,3532,4,Friday
330,"The Pat McAfee Show | Thursday April 22nd, 2021",2021-04-22 20:04:56+00:00,260719,3503,3,Thursday
331,"The Pat McAfee Show | Wednesday April 21st, 2021",2021-04-21 19:41:58+00:00,253239,3955,2,Wednesday
332,"The Pat McAfee Show | Tuesday April 20th, 2021",2021-04-20 19:55:37+00:00,348141,4512,1,Tuesday
333,"The Pat McAfee Show | Monday April 19th, 2021",2021-04-19 19:46:40+00:00,268205,4235,0,Monday
334,"The Pat McAfee Show | Friday April 16th, 2021",2021-04-16 19:12:13+00:00,287383,4494,4,Friday
335,"The Pat McAfee Show | Thursday April 15th, 2021",2021-04-15 20:19:53+00:00,456526,4862,3,Thursday
336,"The Pat McAfee Show | Wednesday April 14th, 2021",2021-04-14 20:06:01+00:00,337107,4473,2,Wednesday
337,"The Pat McAfee Show | Tuesday April 13th, 2021",2021-04-13 20:12:33+00:00,456103,4048,1,Tuesday
338,"The Pat McAfee Show | Monday April 12th, 2021",2021-04-12 19:53:47+00:00,275811,3969,0,Monday
339,"The Pat McAfee Show | Monday, February 17th",2021-04-09 18:10:45+00:00,36702,472,4,Friday
340,"The Pat McAfee Show | Thursday, February 20th",2021-04-09 18:11:05+00:00,25126,395,4,Friday
341,"The Pat McAfee Show | Friday April 9th, 2021",2021-04-09 19:31:06+00:00,269043,4294,4,Friday
342,"The Pat McAfee Show | Thursday April 8th, 2021",2021-04-08 20:01:43+00:00,271614,3941,3,Thursday
343,"The Pat McAfee Show | Wednesday April 7th, 2021",2021-04-07 20:05:33+00:00,453786,4823,2,Wednesday
344,"The Pat McAfee Show | Tuesday April 6th, 2021",2021-04-06 20:03:44+00:00,324869,4745,1,Tuesday
345,"The Pat McAfee Show | Monday April 5th, 2021",2021-04-05 19:36:23+00:00,317600,5166,0,Monday
346,"The Pat McAfee Show | Friday April 2nd, 2021",2021-04-02 20:09:49+00:00,334619,4665,4,Friday
347,"The Pat McAfee Show | Thursday April 1st, 2021",2021-04-01 20:22:49+00:00,425605,4767,3,Thursday
348,"The Pat McAfee Show | Wednesday March 31st, 2021",2021-03-31 20:02:36+00:00,307158,4818,2,Wednesday
349,"The Pat McAfee Show | Tuesday March 30th, 2021",2021-03-30 20:15:16+00:00,401601,4985,1,Tuesday
350,"The Pat McAfee Show | Monday March 29th, 2021",2021-03-29 20:03:00+00:00,306296,4747,0,Monday
351,"The Pat McAfee Show | Friday March 26th, 2021",2021-03-26 20:35:20+00:00,310326,5573,4,Friday
352,"The Pat McAfee Show | Thursday March 25th, 2021",2021-03-25 20:12:13+00:00,446096,5045,3,Thursday
353,"The Pat McAfee Show | Wednesday March 24th, 2021",2021-03-24 19:45:25+00:00,324182,5376,2,Wednesday
354,"The Pat McAfee Show | Tuesday March 23rd, 2021",2021-03-23 20:42:17+00:00,291758,5206,1,Tuesday
355,"The Pat McAfee Show | Monday March 22nd, 2021",2021-03-22 20:24:51+00:00,312612,5479,0,Monday
356,"The Pat McAfee Show | Friday March 19th, 2021",2021-03-19 20:33:37+00:00,882904,8993,4,Friday
357,"The Pat McAfee Show | Thursday March 18th, 2021",2021-03-18 20:23:15+00:00,573097,6110,3,Thursday
358,"The Pat McAfee Show | Wednesday March 17th, 2021",2021-03-17 20:48:53+00:00,541290,6359,2,Wednesday
359,"The Pat McAfee Show | Tuesday March 16th, 2021",2021-03-16 19:59:55+00:00,375449,6799,1,Tuesday
360,"The Pat McAfee Show | Monday March 15th, 2021",2021-03-15 20:02:55+00:00,421896,7453,0,Monday
361,"The Pat McAfee Show | Friday March 12th, 2021",2021-03-12 20:35:22+00:00,340277,5491,4,Friday
362,"The Pat McAfee Show | Thursday March 11th, 2021",2021-03-11 21:19:13+00:00,435967,4731,3,Thursday
363,"The Pat McAfee Show | Wednesday March 10th, 2021",2021-03-10 21:17:20+00:00,422055,4782,2,Wednesday
364,"The Pat McAfee Show | Tuesday March 9th, 2021",2021-03-09 21:12:09+00:00,570485,5359,1,Tuesday
365,"The Pat McAfee Show | Monday March 8th, 2021",2021-03-08 20:18:27+00:00,273421,4745,0,Monday
366,"The Pat McAfee Show | Friday March 5th, 2021",2021-03-05 20:34:45+00:00,292801,4584,4,Friday
367,"The Pat McAfee Show | Thursday March 4th, 2021",2021-03-04 20:51:19+00:00,289107,4459,3,Thursday
368,"The Pat McAfee Show | Wednesday March 3rd, 2021",2021-03-03 20:54:04+00:00,468898,5430,2,Wednesday
369,"The Pat McAfee Show | Tuesday March 2nd, 2021",2021-03-02 20:36:31+00:00,387409,4524,1,Tuesday
370,Pat McAfee Reacts To JJ Watt Signing With The Arizona Cardinals,2021-03-01 18:03:18+00:00,564589,11312,0,Monday
371,"The Pat McAfee Show | Monday March 1st, 2021",2021-03-01 20:37:12+00:00,324150,5323,0,Monday
372,"The Pat McAfee Show | Friday February 26th, 2021",2021-02-26 21:00:23+00:00,311030,4715,4,Friday
373,"The Pat McAfee Show | Thursday February 25th, 2021",2021-02-25 21:14:24+00:00,396705,5481,3,Thursday
374,"The Pat McAfee Show | Tuesday February 23rd, 2021",2021-02-23 21:20:06+00:00,416472,5664,1,Tuesday
375,"The Pat McAfee Show | Monday February 22nd, 2021",2021-02-22 20:20:45+00:00,318362,5600,0,Monday
376,"The Pat McAfee Show | Thursday February 18th, 2021",2021-02-18 20:40:32+00:00,526122,11390,3,Thursday
377,"The Pat McAfee Show | Wednesday February 17th, 2021",2021-02-17 20:42:33+00:00,281690,4836,2,Wednesday
378,"The Pat McAfee Show | Tuesday February 16th, 2021",2021-02-16 21:10:41+00:00,453774,5239,1,Tuesday
379,"The Pat McAfee Show | Monday February 15th, 2021",2021-02-15 20:47:54+00:00,309858,4979,0,Monday
380,"The Pat McAfee Show | Friday, February 12th, 2021",2021-02-12 21:23:27+00:00,336832,5835,4,Friday
381,"The Pat McAfee Show | Thursday February 11th, 2021",2021-02-11 21:25:43+00:00,289385,5350,3,Thursday
382,"The Pat McAfee Show | Wednesday February 10th, 2021",2021-02-10 20:50:56+00:00,371201,5385,2,Wednesday
383,"The Pat McAfee Show | Tuesday February 9th, 2021",2021-02-09 21:15:40+00:00,552807,6567,1,Tuesday
384,"The Pat McAfee Show | Monday February 8th, 2021",2021-02-08 20:36:54+00:00,698853,10103,0,Monday
385,Countdown To Kickoff Celebration Super Show | The Pat McAfee Show,2021-02-07 23:53:27+00:00,558866,15419,6,Sunday
386,"The Pat McAfee Show | Friday February 5th, 2021",2021-02-05 20:33:57+00:00,330286,5641,4,Friday
387,"The Pat McAfee Show | Thursday February 4th, 2021",2021-02-04 21:11:05+00:00,358529,6098,3,Thursday
388,"The Pat McAfee Show | Wednesday February 3rd, 2021",2021-02-03 20:46:25+00:00,323886,6321,2,Wednesday
389,"The Pat McAfee Show | Tuesday February 2nd, 2021",2021-02-02 20:43:31+00:00,390604,6431,1,Tuesday
390,"The Pat McAfee Show | Monday February 1st, 2021",2021-02-01 20:49:58+00:00,574700,7255,0,Monday
391,"The Pat McAfee Show | Friday January 29th, 2021",2021-01-29 20:43:22+00:00,362568,5944,4,Friday
392,"The Pat McAfee Show | Thursday January 28th, 2021",2021-01-28 20:37:34+00:00,507460,6301,3,Thursday
393,"The Pat McAfee Show | Tuesday January 26th, 2021",2021-01-26 20:29:26+00:00,691144,16250,1,Tuesday
394,"The Pat McAfee Show | Monday January 25th, 2021",2021-01-25 20:17:04+00:00,432106,11382,0,Monday
395,"The Pat McAfee Show | Friday January 22nd, 2021",2021-01-22 20:32:37+00:00,368802,6011,4,Friday
396,"The Pat McAfee Show | Thursday January 21st, 2021",2021-01-21 20:19:06+00:00,330869,5928,3,Thursday
397,"The Pat McAfee Show | Wednesday January 20th, 2021",2021-01-20 20:31:30+00:00,323407,5491,2,Wednesday
398,"The Pat McAfee Show | Monday January 18th, 2021",2021-01-18 20:34:30+00:00,397323,7125,0,Monday
399,"The Pat McAfee Show | Friday January 15th, 2021",2021-01-15 20:41:22+00:00,363903,6107,4,Friday
400,"The Pat McAfee Show | Thursday January 14th, 2021",2021-01-14 20:52:16+00:00,333360,5900,3,Thursday
401,"The Pat McAfee Show | Wednesday January  13th, 2021",2021-01-13 20:31:17+00:00,360816,6101,2,Wednesday
402,"The Pat McAfee Show | Tuesday January 12th, 2021",2021-01-12 20:48:03+00:00,669746,9687,1,Tuesday
403,"The Pat McAfee Show | Monday January 11th, 2021",2021-01-11 20:20:21+00:00,505393,11518,0,Monday
404,The Pat McAfee Show | Friday January 8th. 2021,2021-01-08 20:31:37+00:00,388249,5968,4,Friday
405,"The Pat McAfee Show | Thursday January 7th, 2021",2021-01-07 20:11:54+00:00,357465,6872,3,Thursday
406,"The Pat McAfee Show | Wednesday January 6th, 2021",2021-01-06 20:16:27+00:00,287900,5343,2,Wednesday
407,"The Pat McAfee Show | Tuesday January 5th, 2021",2021-01-05 20:27:50+00:00,451358,10390,1,Tuesday
408,"The Pat McAfee Show | Monday January 4th, 2021",2021-01-04 20:10:30+00:00,408705,8380,0,Monday
409,"The Pat McAfee Show | Thursday December 31st, 2020",2020-12-31 20:42:14+00:00,274046,6245,3,Thursday
410,"The Pat McAfee Show | Wednesday December 30th, 2020",2020-12-30 21:08:59+00:00,304887,8222,2,Wednesday
411,"The Pat McAfee Show | Tuesday December 29th, 2020",2020-12-29 20:50:18+00:00,492589,16579,1,Tuesday
412,"The Pat McAfee Show | Monday December 28th, 2020",2020-12-28 20:21:59+00:00,321000,5874,0,Monday
413,"The Pat McAfee Show | Wednesday December 23rd, 2020",2020-12-23 20:21:00+00:00,249765,3824,2,Wednesday
414,"The Pat McAfee Show | Tuesday December 22nd, 2020",2020-12-22 20:43:15+00:00,314878,5977,1,Tuesday
415,"The Pat McAfee Show | Monday December 21st, 2020",2020-12-21 20:11:04+00:00,250806,4100,0,Monday
416,"The Pat McAfee Show | Friday December 18th, 2020",2020-12-18 20:48:56+00:00,248929,4316,4,Friday
417,"The Pat McAfee Show | Thursday December 17th, 2020",2020-12-17 20:31:46+00:00,192174,3213,3,Thursday
418,"The Pat McAfee Show | Wednesday December 16th, 2020",2020-12-16 20:34:42+00:00,184889,3549,2,Wednesday
